#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           dT
   0.262332      0.170623E-02
   0.278256      0.182211E-02
   0.294255      0.194101E-02
   0.310320      0.206315E-02
   0.326445      0.218872E-02
   0.342624      0.231793E-02
   0.358851      0.245102E-02
   0.375123      0.258822E-02
   0.391434      0.272984E-02
   0.407782      0.287621E-02
   0.424163      0.302768E-02
   0.440575      0.318465E-02
   0.457014      0.334756E-02
   0.473479      0.351691E-02
   0.489967      0.369327E-02
   0.506476      0.387725E-02
   0.523004      0.406955E-02
   0.539550      0.427094E-02
   0.556111      0.448221E-02
   0.572687      0.470422E-02
   0.589274      0.493787E-02
   0.605873      0.518407E-02
   0.622482      0.544363E-02
   0.639098      0.571722E-02
   0.655722      0.600529E-02
   0.672351      0.630792E-02
   0.688984      0.662460E-02
   0.705621      0.695418E-02
   0.722259      0.729460E-02
   0.738898      0.764267E-02
   0.755536      0.799401E-02
   0.772172      0.834289E-02
   0.788806      0.868229E-02
   0.805434      0.900396E-02
   0.822056      0.929866E-02
   0.838669      0.955639E-02
   0.855268      0.975767E-02
   0.871844      0.974502E-02
   0.888382      0.975306E-02
   0.904847      0.981549E-02
   0.921170      0.991006E-02
   0.937210      0.100236E-01
   0.952711      0.101476E-01
   0.967266      0.102744E-01
   0.980385      0.103963E-01
   0.991697      0.105072E-01
    1.00000      0.105922E-01
    1.00010      0.108025E-01
    1.00848      0.109898E-01
    1.01803      0.112842E-01
    1.02891      0.116450E-01
    1.04129      0.120958E-01
    1.05540      0.126813E-01
    1.07146      0.135153E-01
    1.08975      0.146990E-01
    1.11058      0.153566E-01
    1.13430      0.158042E-01
    1.16130      0.160269E-01
    1.19204      0.160397E-01
    1.22703      0.158860E-01
    1.26686      0.156248E-01
    1.31219      0.153140E-01
    1.36379      0.149966E-01
    1.42251      0.146981E-01
    1.48933      0.144296E-01
    1.56537      0.141937E-01
    1.65188      0.139884E-01
    1.75032      0.138105E-01
    1.86231      0.136572E-01
    1.98973      0.134635E-01

