#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           dT
    1.31387      0.272094E-01
    1.36588      0.252157E-01
    1.42509      0.234757E-01
    1.49250      0.219819E-01
    1.56925      0.207136E-01
    1.65663      0.196448E-01
    1.75609      0.187485E-01
    1.86931      0.180016E-01
    1.99818      0.172549E-01

   0.160049E-01  0.152220E-03
   0.129157E-01  0.125312E-03
   0.102737E-01  0.119494E-03
   0.799905E-02  0.113365E-03
   0.603611E-02  0.105166E-03
   0.436130E-02  0.977046E-04
   0.295502E-02  0.905782E-04
   0.181024E-02  0.844948E-04
   0.925187E-03  0.789693E-04
   0.315300E-03  0.756006E-04
  -0.203094E-05  0.779819E-04
  -0.489050E-04  0.826839E-04
   0.176432E-03  0.929407E-04
   0.673480E-03  0.108500E-03
   0.142801E-02  0.126636E-03
   0.244116E-02  0.147393E-03
   0.371796E-02  0.169976E-03
   0.527214E-02  0.193633E-03
   0.713484E-02  0.218112E-03
   0.934685E-02  0.243187E-03
   0.119567E-01  0.268637E-03
   0.150070E-01  0.291455E-03
   0.185657E-01  0.306029E-03
   0.227411E-01  0.316236E-03
   0.276796E-01  0.331874E-03
   0.335342E-01  0.358140E-03
   0.404462E-01  0.394919E-03
   0.484919E-01  0.437133E-03
   0.577139E-01  0.482603E-03
   0.681193E-01  0.527564E-03
   0.795722E-01  0.570656E-03
   0.917564E-01  0.612064E-03
   0.104385      0.651289E-03
   0.117383      0.688380E-03
   0.130721      0.723600E-03
   0.144321      0.757217E-03
   0.158097      0.789551E-03
   0.171975      0.820867E-03
   0.185913      0.851382E-03
   0.199927      0.881462E-03
   0.214086      0.911757E-03
   0.228453      0.116946E-02
   0.243042      0.141328E-02
   0.257861      0.160002E-02
   0.272913      0.174681E-02
   0.288187      0.187246E-02
   0.303633      0.198453E-02
   0.319130      0.208451E-02
   0.334607      0.217919E-02
   0.350050      0.227168E-02
   0.365447      0.236406E-02
   0.380799      0.246175E-02
   0.396113      0.256460E-02
   0.411416      0.267591E-02
   0.426742      0.279557E-02
   0.442099      0.292246E-02
   0.457488      0.305634E-02
   0.472912      0.319687E-02
   0.488367      0.334350E-02
   0.503847      0.349558E-02
   0.519335      0.365311E-02
   0.534821      0.381771E-02
   0.550302      0.399056E-02
   0.565777      0.417304E-02
   0.581246      0.436668E-02
   0.596711      0.457300E-02
   0.612180      0.479389E-02
   0.627664      0.502991E-02
   0.643165      0.528136E-02
   0.658685      0.554883E-02
   0.674223      0.583263E-02
   0.689779      0.613294E-02
   0.705348      0.644957E-02
   0.720918      0.678249E-02
   0.736483      0.713223E-02
   0.752042      0.749856E-02
   0.767593      0.788037E-02
   0.783137      0.827567E-02
   0.798674      0.868142E-02
   0.814204      0.909362E-02
   0.829730      0.950710E-02
   0.845252      0.991581E-02
   0.860768      0.103130E-01
   0.876277      0.106916E-01
   0.891771      0.110444E-01
   0.907235      0.113643E-01
   0.922630      0.116451E-01
   0.937878      0.118811E-01
   0.952861      0.120514E-01
   0.967253      0.121358E-01
   0.980435      0.122092E-01
   0.991815      0.122829E-01
    1.00000      0.123437E-01
    1.00010      0.136635E-01
    1.00848      0.138438E-01
    1.01804      0.141270E-01
    1.02895      0.144744E-01
    1.04137      0.148802E-01
    1.05552      0.152528E-01
    1.07165      0.156051E-01
    1.09002      0.159370E-01
    1.11095      0.162278E-01
    1.13479      0.164564E-01
    1.16194      0.166045E-01
    1.19287      0.166610E-01
    1.22809      0.166259E-01
    1.26820      0.165112E-01
    1.31387      0.163377E-01
    1.36588      0.161298E-01
    1.42509      0.159099E-01
    1.49250      0.156943E-01
    1.56925      0.154931E-01
    1.65663      0.153115E-01
    1.75609      0.151512E-01
    1.86931      0.150123E-01
    1.99818      0.147933E-01

